lat,long,surface,pop,municipality,prov
454125,92818,824,7959,Calusco d'Adda,BG
452942,9362,645,3030,Calvenzano,BG
455414,93912,1256,544,Camerata Cornello,BG
453437,93220,317,3613,Canonica d'Adda,BG
45477,9345,459,1080,Capizzone,BG
453634,93147,583,6729,Capriate San Gervasio,BG
454451,92854,860,2675,Caprino Bergamasco,BG
452951,93838,3281,13763,Caravaggio,BG
454016,95011,667,2902,Carobbio degli Angeli,BG
46118,94645,4419,431,Carona,BG
454222,92852,438,3923,Carvico,BG
454512,95430,706,3266,Casazza,BG
452942,9342,1019,2919,Casirate d'Adda,BG
45499,9520,1348,3612,Casnigo,BG
45587,93644,1403,120,Cassiglio,BG
453827,95410,991,8402,Castelli Calepio,BG
453320,93730,165,2323,Castel Rozzone,BG
455431,1023,4256,3161,Castione della Presolana,BG
454815,10356,353,1429,Castro,BG
453751,94559,746,1268,Cavernago,BG
454850,9535,204,1216,Cazzano Sant'Andrea,BG
454242,94936,693,1639,Cenate Sopra,BG
454159,94927,451,2181,Cenate Sotto,BG
454651,94934,857,3630,Cene,BG
455149,95930,1394,1174,Cerete,BG
45403,93136,529,2184,Chignolo d'Isola,BG
45395,9511,663,4466,Chiuduno,BG
454443,92826,754,5398,Cisano Bergamasco,BG
453514,9369,520,4392,Ciserano,BG
453323,9506,955,4741,Cividate al Piano,BG
455330,95646,2596,7976,Clusone,BG
455832,10459,1877,1110,Colere,BG
453449,94227,1753,8836,Cologno al Serio,BG
45498,95123,669,1676,Colzate,BG
453722,93943,636,2658,Comun Nuovo,BG
454959,93241,454,795,Corna Imagna,BG
453220,94727,711,1410,Cortenova,BG
453949,94735,510,2098,Costa di Mezzate,BG
454811,93019,426,654,Costa Valle Imagna,BG
454953,10538,1858,8213,Costa Volpino,BG
45306,94617,1274,2902,Covo,BG
453938,95539,340,2038,Credaro,BG
454131,93640,462,6757,Curno,BG
455932,93612,934,370,Cusio,BG
453849,9362,1160,18511,Dalmine,BG
455250,9427,1960,940,Dossena,BG
454732,95827,2088,2749,Endine Gaiano,BG
454225,95230,412,1354,Entratico,BG
453314,93155,1062,5516,Fara Gera d'Adda,BG
452944,94457,493,968,Fara Olivana con Sola,BG
453825,93326,534,2284,Filago,BG
455333,95941,436,977,Fino del Monte,BG
45483,95035,110,2504,Fiorano al Serio,BG
452813,9486,1793,3459,Fontanella,BG
454533,10112,1107,724,Fonteno,BG
46246,9456,1625,193,Foppolo,BG
454151,95423,773,2387,Foresto Sparso,BG
452952,94040,695,2312,Fornovo San Giovanni,BG
455116,93141,423,242,Fuipiano Valle Imagna,BG
455928,95652,2542,1044,Gandellino,BG
454844,95419,2914,5769,Gandino,BG
453949,95314,311,1175,Gandosso,BG
454541,9535,518,829,Gaverina Terme,BG
454757,9507,1465,4853,Gazzaniga,BG
45517,93419,1004,360,Gerosa,BG
453539,94515,1021,4168,Ghisalba,BG
454038,94936,556,4124,Gorlago,BG
454219,94310,241,4388,Gorle,BG
455154,95036,987,1849,Gorno,BG
453934,94325,825,4743,Grassobbio,BG
45586,95542,2005,1252,Gromo,BG
454346,95441,783,716,Grone,BG
453813,95220,982,5963,Grumello del Monte,BG
455850,94451,1325,200,Isola di Fondra,BG
452839,94538,490,537,Isso,BG
45402,93748,214,2773,Lallio,BG
45487,95310,676,5106,Leffe,BG
455643,94044,1288,696,Lenna,BG
453734,93730,531,2902,Levate,BG
455025,9327,375,681,Locatello,BG
454913,10437,736,5675,Lovere,BG
453356,93827,398,1598,Lurano,BG
454259,95253,338,617,Luzzana,BG
45392,93256,298,2782,Madone,BG
454244,93253,850,5005,Mapello,BG
453416,9465,2171,7835,Martinengo,BG
46050,93955,1881,281,Mezzoldo,BG
45289,93721,611,2203,Misano di Gera d'Adda,BG
455713,9428,618,188,Moio de' Calvi,BG
454550,95559,848,860,Monasterolo del Castello,BG
454022,9480,174,1987,Montello,BG
45326,94221,1028,1869,Morengo,BG
453535,94831,699,2470,Mornico al Serio,BG
452838,94137,933,3398,Mozzanica,BG
454213,93632,356,6312,Mozzo,BG
454453,94538,1522,11116,Nembro,BG
455821,9391,779,529,Olmo al Brembo,BG
455332,94614,3241,1236,Oltre il Colle,BG
455459,95644,1726,185,Oltressenda Alta,BG
455226,94911,1826,716,Oneta,BG
455330,10034,1159,694,Onore,BG
454035,94133,303,1186,Orio al Serio,BG
455926,93445,1432,261,Ornica,BG
453750,93532,503,3491,Osio Sopra,BG
45373,93531,745,9982,Osio Sotto,BG
45320,94018,504,1654,Pagazzano,BG
454352,93616,204,3122,Paladina,BG
454515,9328,1398,3081,Palazzago,BG
45355,9506,1045,4804,Palosco,BG
455245,95330,2248,2457,Parre,BG
454419,1022,1078,424,Parzanica,BG
45425,94356,355,4283,Pedrengo,BG
45488,95358,435,1746,Peia,BG
454843,10244,262,1266,Pianico,BG
455353,95534,148,812,Piario,BG
45573,94025,654,1111,Piazza Brembana,BG
455932,94054,2357,502,Piazzatorre,BG
455852,94018,419,111,Piazzolo,BG
453512,93828,317,1156,Pognano,BG
45520,95254,557,2140,Ponte Nossa,BG
454420,94014,837,7084,Ponteranica,BG
454157,93528,459,10115,Ponte San Pietro,BG
454359,93010,1014,2672,Pontida,BG
453412,9342,1083,3862,Pontirolo Nuovo,BG
45452,94716,839,3926,Pradalunga,BG
454059,10113,1161,1628,Predore,BG
455216,95230,1831,1007,Premolo,BG
454136,9344,213,4107,Presezzo,BG
452852,9528,1010,1456,Pumenengo,BG
454345,94258,416,5723,Ranica,BG
454728,95611,704,858,Ranzanico,BG
454633,10227,859,858,Riva di Solto,BG
455134,1085,1559,2899,Rogno,BG
453116,94522,1803,15408,Romano di Lombardia,BG
455727,94429,2550,470,Roncobello,BG
454639,93327,507,554,Roncola,BG
454955,93047,600,815,Rota d'Imagna,BG
455336,95918,2396,2806,Rovetta,BG
455239,93912,3145,4757,San Giovanni Bianco,BG
454134,94821,507,3390,San Paolo d'Argon,BG
455021,93951,2283,5290,San Pellegrino Terme,BG
45590,93731,1421,646,Santa Brigida,BG
454915,93253,1080,2970,Sant'Omobono Imagna,BG
454012,95723,644,5668,Sarnico,BG
454249,9447,1078,8179,Scanzorosciate,BG
46037,10915,6387,1343,Schilpario,BG
45476,93743,598,2410,Sedrina,BG
454711,94529,643,1837,Selvino,BG
454114,94318,1241,19030,Seriate,BG
455228,94350,2754,2129,Serina,BG
45478,10139,1201,1305,Solto Collina,BG
455257,95925,1270,539,Songavazzo,BG
454449,93947,1232,8120,Sorisole,BG
454233,9307,512,2585,Sotto il Monte Giovanni XXIII,BG
454927,10120,1779,4638,Sovere,BG
454558,95523,198,748,Spinone al Lago,BG
453459,9409,946,4079,Spirano,BG
45395,93912,925,8253,Stezzano,BG
454635,93441,385,854,Strozza,BG
453923,9301,458,3060,Suisio,BG
455339,9348,4647,684,Taleggio,BG
454242,10247,1236,2360,Tavernola Bergamasca,BG
453738,95116,812,3715,Telgate,BG
454114,93146,399,3471,Terno d'Isola,BG
45437,94224,344,7685,Torre Boldone,BG
45424,94619,270,1650,Torre de' Roveri,BG
452630,95146,1030,946,Torre Pallavicina,BG
454144,95039,1331,7075,Trescore Balneario,BG
453120,93536,3154,25299,Treviglio,BG
454029,93641,927,7752,Treviolo,BG
45476,9374,735,1195,Ubiale Clanezzo,BG
453552,94143,1397,7606,Urgnano,BG
4629,10023,9530,1316,Valbondione,BG
454257,93633,366,3292,Valbrembo,BG
455840,95442,3177,616,Valgoglio,BG
46143,94440,1496,158,Valleve,BG
45573,94134,209,238,Valnegra,BG
454941,92947,523,450,Valsecca,BG
455845,9324,3059,393,Valtorta,BG
455335,93222,1978,297,Vedeseta,BG
453615,93657,378,6537,Verdellino,BG
453626,93742,715,6173,Verdello,BG
454838,9514,1579,4788,Vertova,BG
454121,9589,544,937,Viadanica,BG
454347,95338,365,926,Vigano San Martino,BG
45434,10126,1222,656,Vigolo,BG
45431,92749,601,3703,Villa d'Adda,BG
45453,93659,636,5798,Villa d'Alme',BG
454323,9444,456,5162,Villa di Serio,BG
455430,95552,518,1682,Villa d'Ogna,BG
454027,95546,593,5656,Villongo,BG
455954,10538,4093,1510,Vilminore di Scalve,BG
454128,95115,646,2039,Zandobbio,BG
453824,9414,1466,5866,Zanica,BG
454744,93951,3486,8724,Zogno,BG
454956,94438,1212,888,Costa di Serina,BG
454953,94313,814,695,Algua,BG
45519,94442,940,298,Cornalba,BG
454019,92938,376,1606,Medolago,BG
454044,92921,123,1258,Solza,BG
451828,102438,929,1222,Acquafredda,BS
453718,95739,1427,5846,Adro,BS
45394,102111,1365,1717,Agnosine,BS
45160,10859,1364,2209,Alfianello,BS
45460,102939,2317,429,Anfo,BS
455335,10844,3070,2507,Angolo Terme,BS
455111,10102,2129,2982,Artogne,BS
452722,1073,1056,1483,Azzano Mella,BS
452550,101049,3129,10819,Bagnolo Mella,BS
454930,102752,10969,4062,Bagolino,BS
452426,10312,1139,1927,Barbariga,BS
454049,102424,545,1077,Barghe,BS
451935,10749,956,1466,Bassano Bresciano,BS
453042,102517,2639,8196,Bedizzole,BS
453011,10215,457,1682,Berlingo,BS
46542,101959,1599,1867,Berzo Demo,BS
45564,101648,2192,1993,Berzo Inferiore,BS
45568,101754,3097,3517,Bienno,BS
454033,102029,1756,1299,Bione,BS
45213,9588,2940,4333,Borgo San Giacomo,BS
452840,101429,843,7289,Borgosatollo,BS
455656,101227,3064,2781,Borno,BS
453244,101920,1859,9624,Botticino,BS
454744,101625,4745,2288,Bovegno,BS
453540,101440,640,7254,Bovezzo,BS
452718,10310,843,846,Brandico,BS
455926,102043,1237,586,Braone,BS
455727,101811,5879,5274,Breno,BS
453227,101314,9068,194502,Brescia,BS
453827,10832,689,464,Brione,BS
453650,10194,1728,1390,Caino,BS
452722,102449,3339,9229,Calcinato,BS
453232,102650,1178,1993,Calvagese della Riviera,BS
452059,102042,4515,6809,Calvisano,BS
46155,102043,1853,2399,Capo di Ponte,BS
454518,103251,2307,493,Capovalle,BS
452722,10748,1398,3451,Capriano del Colle,BS
453815,9567,1071,7669,Capriolo,BS
452150,102553,3012,9450,Carpenedolo,BS
453350,1076,926,4980,Castegnato,BS
45304,95639,619,4995,Castelcovati,BS
452951,10840,745,5786,Castel Mella,BS
452820,10186,2623,8259,Castenedolo,BS
454149,10198,2141,1659,Casto,BS
453048,95841,1370,5042,Castrezzato,BS
453456,10130,2214,8863,Cazzago San Martino,BS
46443,102058,1177,1334,Cedegolo,BS
453516,101049,650,4637,Cellatica,BS
46016,101932,2168,617,Cerveno,BS
46014,10215,3243,1746,Ceto,BS
46453,102219,3524,1151,Cevo,BS
453213,95545,3802,17075,Chiari,BS
451834,101138,998,1419,Cigole,BS
46129,102152,2633,612,Cimbergo,BS
455638,101644,338,2576,Cividate Camuno,BS
453355,95842,1196,6501,Coccaglio,BS
45350,101248,535,4193,Collebeato,BS
454839,10204,5353,2271,Collio,BS
453510,95639,1383,5683,Cologne,BS
452823,95653,1563,2266,Comezzano-Cizzago,BS
45367,101335,1914,12280,Concesio,BS
453750,9597,1401,5305,Corte Franca,BS
46103,101424,8259,2100,Corteno Golgi,BS
452641,10031,1226,896,Corzano,BS
455252,10110,3620,13206,Darfo Boario Terme,BS
45258,10433,2348,3662,Dello,BS
452823,103219,6010,21183,Desenzano del Garda,BS
461051,101946,8918,4420,Edolo,BS
453557,95826,1625,6376,Erbusco,BS
455533,101522,3030,4321,Esine,BS
45141,101917,1615,1758,Fiesse,BS
45293,101036,987,7509,Flero,BS
451517,101747,3164,4224,Gambara,BS
453724,103351,2062,2465,Gardone Riviera,BS
454127,101058,2673,10862,Gardone Val Trompia,BS
454124,103952,7828,3211,Gargnano,BS
453510,102619,2958,9156,Gavardo,BS
452415,101635,6076,14194,Ghedi,BS
455158,101056,1326,1768,Gianico,BS
451729,101613,2914,4630,Gottolengo,BS
453546,10911,2502,13265,Gussago,BS
454427,102856,2251,1421,Idro,BS
461326,102128,2023,478,Incudine,BS
454620,10173,498,166,Irma,BS
453940,1033,2570,8145,Iseo,BS
451833,101916,1536,3211,Isorella,BS
454424,102619,3187,648,Lavenone,BS
45223,101311,5864,11504,Leno,BS
454855,104734,2620,989,Limone sul Garda,BS
454313,101627,1645,1416,Lodrino,BS
45291,10325,1234,2670,Lograto,BS
452744,10297,7055,10923,Lonato,BS
452618,10338,339,522,Longhena,BS
45593,101859,627,537,Losine,BS
455914,101546,2389,460,Lozio,BS
45395,101552,3152,23619,Lumezzane,BS
452839,10237,510,1058,Maclodio,BS
454659,103710,1918,238,Magasa,BS
45270,10449,1159,2060,Mairano,BS
45579,101614,700,2244,Malegno,BS
4675,101840,3078,3398,Malonno,BS
45331,10337,2896,2780,Manerba del Garda,BS
452122,10831,2781,12242,Manerbio,BS
454241,101310,2273,3975,Marcheno,BS
454525,10176,1806,665,Marmentino,BS
454429,10534,2295,3065,Marone,BS
453115,10215,1564,7605,Mazzano,BS
451629,10121,852,1340,Milzano,BS
453139,10327,940,1390,Moniga del Garda,BS
461248,102022,3070,570,Monno,BS
45432,10449,1222,1745,Monte Isola,BS
453754,1062,1073,2968,Monticelli Brusati,BS
452452,102332,8119,16759,Montichiari,BS
452640,101347,1048,3072,Montirone,BS
454253,102041,1243,702,Mura,BS
453336,102818,1009,1639,Muscoline,BS
453513,101722,2712,9838,Nave,BS
455847,102029,2231,1704,Niardo,BS
453253,10230,745,3074,Nuvolento,BS
45329,102220,1319,2834,Nuvolera,BS
453852,102322,649,1911,Odolo,BS
452317,1075,2288,3029,Offlaga,BS
453734,10733,991,2655,Ome,BS
4615,101937,1394,892,Ono San Pietro,BS
452410,95528,4810,10389,Orzinuovi,BS
452515,95746,988,2134,Orzivecchi,BS
453323,10428,854,9397,Ospitaletto,BS
455637,10146,1483,1367,Ossimo,BS
453036,103025,2042,2865,Padenghe sul Garda,BS
453520,10438,558,2831,Paderno Franciacorta,BS
46450,101732,3596,322,Paisco Loveno,BS
453318,10243,796,1389,Paitone,BS
453553,95256,2306,16270,Palazzolo sull'Oglio,BS
453930,95719,625,3265,Paratico,BS
46158,102210,1032,742,Paspardo,BS
45368,10335,1389,5153,Passirano,BS
45186,101224,1174,2480,Pavone del Mella,BS
452214,10144,1867,3440,San Paolo,BS
454439,102042,2088,596,Pertica Alta,BS
454521,102224,3041,713,Pertica Bassa,BS
454638,101419,2151,1470,Pezzaze,BS
455043,10924,1108,3538,Pian Camuno,BS
454816,10636,4796,7881,Pisogne,BS
453945,10738,918,2024,Polaveno,BS
45338,103025,908,1567,Polpenazze del Garda,BS
452557,95922,1522,3162,Pompiano,BS
452741,101027,1263,3301,Poncarale,BS
461542,103041,10075,1977,Ponte di Legno,BS
451613,10516,2921,6390,Pontevico,BS
453412,95111,1122,6139,Pontoglio,BS
452416,103743,2137,2496,Pozzolengo,BS
45163,10134,1719,2538,Pralboino,BS
45402,102334,1140,1397,Preseglie,BS
455553,101844,1606,423,Prestine,BS
453248,102453,986,4354,Prevalle,BS
45387,1034,1634,5128,Provaglio d'Iseo,BS
454119,102620,1487,836,Provaglio Val Sabbia,BS
453419,103042,1087,2064,Puegnago sul Garda,BS
451851,10028,2149,5728,Quinzano d'Oglio,BS
451646,102226,2160,2902,Remedello,BS
453057,10193,1824,11460,Rezzato,BS
452753,95445,1947,3393,Roccafranca,BS
453554,10636,1284,5259,Rodengo-Saiano,BS
453730,102940,575,3706,Roe' Volciano,BS
453142,10859,920,7097,Roncadelle,BS
45348,1000,2626,13244,Rovato,BS
452918,9534,984,4312,Rudiano,BS
453924,102512,1861,2791,Sabbio Chiese,BS
45433,10642,1632,3071,Sale Marasino,BS
453625,103125,2975,9882,Salo',BS
453511,103252,2652,2408,San Felice del Benaco,BS
451825,10855,1052,1270,San Gervasio Bresciano,BS
452931,10133,615,3100,San Zeno Naviglio,BS
453914,101216,1755,11044,Sarezzo,BS
46454,10248,8301,1341,Saviore dell'Adamello,BS
46334,102037,1395,1508,Sellero,BS
451436,101043,1364,1579,Seniga,BS
453356,102215,1847,2817,Serle,BS
452940,103630,3387,5240,Sirmione,BS
453226,103049,577,1092,Soiano del Lago,BS
46108,102113,6030,1304,Sonico,BS
454124,1063,1063,1352,Sulzano,BS
454457,101430,1983,1358,Tavernole sul Mella,BS
461459,102815,4304,1058,Temu',BS
454410,104316,4842,1224,Tignale,BS
453046,10656,1327,4066,Torbole Casaglia,BS
453844,10373,5673,6653,Toscolano-Maderno,BS
453130,10449,1780,9579,Travagliato,BS
454617,104539,7239,1862,Tremosine,BS
452832,10047,2003,4478,Trenzano,BS
454248,102747,1783,562,Treviso Bresciano,BS
453056,95211,1064,2991,Urago d'Oglio,BS
453641,102330,1505,988,Vallio Terme,BS
454541,103547,3112,375,Valvestino,BS
451932,10441,2585,7500,Verolanuova,BS
451950,1037,2100,3663,Verolavecchia,BS
454242,102419,1293,4131,Vestone,BS
461433,102356,5405,1435,Vezza d'Oglio,BS
45382,101135,1445,10120,Villa Carcina,BS
452126,95558,1678,1215,Villachiara,BS
453612,102719,912,4411,Villanuova sul Clisi,BS
461458,102653,3563,913,Vione,BS
45196,102211,1121,1521,Visano,BS
453852,10302,5320,7479,Vobarno,BS
454551,1070,1959,1138,Zone,BS
455512,101313,1361,3845,Piancogno,BS
451014,85329,863,729,Alagna,PV
45636,91432,922,208,Albaredo Arnaboldi,PV
451745,84228,429,476,Albonese,PV
451120,91627,1526,1912,Albuzzano,PV
45550,92144,2227,1539,Arena Po,PV
45723,9285,502,390,Badia Pavese,PV
444941,9728,1659,689,Bagnaria,PV
45440,91220,1183,779,Barbianello,PV
451837,91845,1311,1324,Bascape',PV
45227,85522,170,189,Bastida de' Dossi,PV
45518,9456,1336,969,Bastida Pancarana,PV
451635,9431,699,375,Battuda,PV
45941,91849,2434,5188,Belgioioso,PV
451532,9131,1765,2215,Bereguardo,PV
451433,9835,483,986,Borgarello,PV
44582,9857,2896,1447,Borgo Priolo,PV
445557,91137,1603,496,Borgoratto Mormorolo,PV
451414,85448,1733,880,Borgo San Siro,PV
451612,91311,1266,1004,Bornasco,PV
45359,92133,477,596,Bosnasco,PV
444423,91653,4638,1183,Brallo di Pregola,PV
45742,83724,1917,1002,Breme,PV
45447,984,1305,3155,Bressana Bottarone,PV
45350,91544,2087,10077,Broni,PV
44594,9108,691,152,Calvignano,PV
45543,91446,367,687,Campospinoso,PV
451035,83541,2777,1702,Candia Lomellina,PV
445645,91627,474,134,Canevino,PV
4537,91645,581,1324,Canneto Pavese,PV
45106,9347,1465,1264,Carbonara al Ticino,PV
45546,91245,458,422,Casanova Lonati,PV
45258,9745,546,850,Casatisma,PV
45027,85538,2481,2619,Casei Gerola,PV
451848,9111,949,5961,Casorate Primo,PV
452152,84840,3196,5571,Cassolnovo,PV
45144,91614,517,771,Castana,PV
45055,9732,1778,7276,Casteggio,PV
45419,9556,1145,1070,Castelletto di Branduzzo,PV
45142,84121,1062,861,Castello d'Agogna,PV
451518,83645,1850,696,Castelnovetto,PV
45832,9636,1743,4718,Cava Manara,PV
445110,9452,1011,303,Cecima,PV
451544,91431,453,471,Ceranova,PV
451449,84023,738,237,Ceretto Lomellina,PV
45120,84624,1361,730,Cergnago,PV
451515,9746,1071,3004,Certosa di Pavia,PV
45351,911,1250,1234,Cervesina,PV
45919,92925,2312,3009,Chignolo Po,PV
4527,91446,804,1366,Cigognola,PV
451845,84436,1796,4416,Cilavegna,PV
445751,9341,1300,974,Codevilla,PV
451959,83324,2673,1692,Confienza,PV
451155,91928,432,1413,Copiano,PV
45346,8589,1304,860,Corana,PV
45242,85449,169,724,Cornale,PV
45930,92214,1001,1733,Corteolona,PV
45047,9942,440,1164,Corvino San Quirico,PV
4580,92240,1156,395,Costa de' Nobili,PV
451138,83643,1740,427,Cozzo,PV
451253,91517,1068,1267,Cura Carpignano,PV
45921,8577,3061,4084,Dorno,PV
45656,85156,1954,1164,Ferrera Erbognone,PV
451045,91852,815,785,Filighera,PV
445523,9119,1801,454,Fortunago,PV
45250,84055,2341,1329,Frascarolo,PV
45555,84911,854,204,Galliavola,PV
45148,84551,1202,309,Gambarana,PV
451534,85134,5153,7654,Gambolo',PV
451150,85523,3903,9572,Garlasco,PV
451056,92047,395,397,Genzone,PV
451231,92136,536,776,Gerenzago,PV
451713,9830,2476,3367,Giussago,PV
445350,9325,2061,2452,Godiasco,PV
445746,91826,435,268,Golferenzo,PV
451948,84554,2042,1994,Gravellona Lomellina,PV
451044,85931,2611,3973,Gropello Cairoli,PV
451159,92258,961,1051,Inverno e Monteleone,PV
451848,91539,1548,3744,Landriano,PV
451252,83354,1572,449,Langosco,PV
451414,91356,541,971,Lardirago,PV
45941,91612,1225,1846,Linarolo,PV
445941,91522,173,167,Lirio,PV
45719,84744,2224,2392,Lomello,PV
45237,9455,688,2186,Lungavilla,PV
451333,91949,509,1303,Magherno,PV
451520,9440,1013,1468,Marcignago,PV
451459,91743,922,812,Marzano,PV
45552,84414,3319,7138,Mede,PV
444751,91648,2828,591,Menconico,PV
45342,85049,1879,1246,Mezzana Bigli,PV
45547,9155,703,522,Mezzana Rabattone,PV
45740,91219,1387,1409,Mezzanino,PV
451026,92638,962,2854,Miradolo Terme,PV
445850,91238,1912,1048,Montalto Pavese,PV
45014,9617,1583,1556,Montebello della Battaglia,PV
445820,91712,1116,591,Montecalvo Versiggia,PV
45157,91743,240,378,Montescano,PV
445431,9737,1483,365,Montesegale,PV
45644,93042,2020,683,Monticelli Pavese,PV
45213,91852,1560,1756,Montu' Beccaria,PV
45046,91222,819,747,Mornico Losana,PV
451516,84421,5212,14093,Mortara,PV
451714,8404,816,376,Nicorvo,PV
451256,84258,1542,729,Olevano di Lomellina,PV
45016,91048,391,205,Oliva Gessi,PV
45915,84950,2455,1092,Ottobiano,PV
451810,8320,1873,2065,Palestro,PV
45436,935,616,360,Pancarana,PV
45177,8456,934,1500,Parona,PV
451113,9917,6286,76962,Pavia,PV
45118,91347,1104,921,Pietra de' Giorgi,PV
45648,85734,1765,957,Pieve Albignola,PV
45257,84815,2551,2298,Pieve del Cairo,PV
45641,92613,1633,2650,Pieve Porto Morone,PV
45415,9104,1115,1593,Pinarolo Po,PV
45216,9255,726,721,Pizzale,PV
44519,9557,2313,899,Ponte Nizza,PV
45611,91912,468,1160,Portalbera,PV
4575,9918,296,564,Rea,PV
45217,91214,547,1019,Redavalle,PV
44571,9213,1167,1078,Retorbido,PV
445540,9059,2904,3977,Rivanazzano,PV
451737,83553,4034,6414,Robbio,PV
45251,9856,692,603,Robecco Pavese,PV
445827,91516,1062,130,Rocca de' Giorgi,PV
445449,9549,1288,224,Rocca Susella,PV
451726,9522,922,107,Rognano,PV
445022,91945,2987,1065,Romagnese,PV
451349,91630,495,345,Roncaro,PV
45156,83454,1981,774,Rosasco,PV
45055,9210,829,999,Rovescala,PV
445542,91634,2128,895,Ruino,PV
45635,91658,867,412,San Cipriano Po,PV
45134,92045,644,822,San Damiano al Colle,PV
451415,91038,899,2873,San Genesio ed Uniti,PV
451035,84733,2589,1272,San Giorgio di Lomellina,PV
45937,9815,1431,4732,San Martino Siccomario,PV
45612,85440,2329,5743,Sannazzaro de' Burgondi,PV
45931,92358,2220,1981,Santa Cristina e Bissone,PV
4523,91055,1167,1720,Santa Giuletta,PV
451326,91331,656,362,Sant'Alessio con Vialone,PV
444621,91431,3670,761,Santa Margherita di Staffora,PV
445913,91759,1866,2623,Santa Maria della Versa,PV
451449,83826,1042,711,Sant'Angelo Lomellina,PV
45637,92145,687,503,San Zenone al Po,PV
45657,83953,2953,1938,Sartirana Lomellina,PV
45737,85438,1159,832,Scaldasole,PV
45818,84350,994,257,Semiana,PV
45230,85657,1383,683,Silvano Pietra,PV
451919,9124,1181,4119,Siziano,PV
45748,9456,1425,917,Sommo,PV
45652,92050,1219,468,Spessa,PV
45443,91755,1877,11328,Stradella,PV
4529,84431,981,698,Suardi,PV
445843,9519,1611,1400,Torrazza Coste,PV
45338,84015,1757,649,Torre Beretti e Castellaro,PV
451440,9194,437,363,Torre d'Arese,PV
4596,91955,405,370,Torre de' Negri,PV
45139,9434,1635,1334,Torre d'Isola,PV
45175,91744,1630,1634,Torrevecchia Pia,PV
45115,91036,355,730,Torricella Verzate,PV
45914,9944,1507,3425,Travaco' Siccomario,PV
451544,9241,387,1084,Trivolzio,PV
451243,85218,3517,3123,Tromello,PV
45175,928,796,561,Trovo,PV
445248,9959,2959,782,Val di Nizza,PV
4597,85148,979,254,Valeggio,PV
4599,83949,2711,2284,Valle Lomellina,PV
451022,9145,708,1251,Valle Salimbene,PV
44526,9146,1483,399,Valverde,PV
444930,91152,5877,3853,Varzi,PV
45948,84415,857,122,Velezzo Lomellina,PV
451619,9556,789,1268,Vellezzo Bellini,PV
45230,9625,273,314,Verretto,PV
45647,91033,1126,1292,Verrua Po,PV
451743,9142,1582,3199,Vidigulfo,PV
45196,85136,8238,60384,Vigevano,PV
45527,84716,499,87,Villa Biscossi,PV
451022,9221,681,683,Villanova d'Ardenghi,PV
451317,92137,1453,2330,Villanterio,PV
451240,91828,925,1044,Vistarino,PV
445937,9035,6328,40483,Voghera,PV
445715,91751,389,149,Volpara,PV
445211,91556,2837,1221,Zavattarello,PV
451548,91150,546,916,Zeccone,PV
451157,8407,2500,1187,Zeme,PV
45317,91933,534,378,Zenevredo,PV
45645,92337,638,484,Zerbo,PV
451227,9041,3781,1203,Zerbolo',PV
45721,904,2952,2768,Zinasco,PV
451015,95324,921,1185,Acquanegra Cremonese,CR
452643,93328,1214,2414,Agnadello,CR
451443,95255,1925,2002,Annicco,CR
451855,95513,1115,686,Azzanello,CR
452142,93635,1037,4294,Bagnolo Cremasco,CR
45650,10447,585,921,Bonemerse,CR
451738,95914,813,561,Bordolano,CR
45713,101643,1714,623,Ca' d'Andrea,CR
45746,102622,1347,1304,Calvatone,CR
452640,94440,1084,1143,Camisano,CR
452356,94011,463,430,Campagnola Cremasca,CR
452014,93838,679,1531,Capergnanica,CR
451451,95022,1317,597,Cappella Cantone,CR
45934,101353,1415,459,Cappella de' Picenardi,CR
452645,93846,1338,1591,Capralba,CR
45158,95757,2316,4213,Casalbuttano ed Uniti,CR
45263,94250,895,1148,Casale Cremasco-Vidolasco,CR
451912,93710,647,974,Casaletto Ceredano,CR
452514,9471,859,393,Casaletto di Sopra,CR
452434,93746,539,1071,Casaletto Vaprio,CR
445918,102457,6369,13168,Casalmaggiore,CR
451718,95354,1215,1669,Casalmorano,CR
45410,102421,1080,627,Casteldidone,CR
452812,94258,581,310,Castel Gabbiano,CR
451749,94555,4503,8755,Castelleone,CR
451117,95941,3094,4367,Castelverde,CR
451827,95632,970,380,Castelvisconti,CR
45546,101321,1913,650,Cella Dati,CR
452028,93654,634,1396,Chieve,CR
45952,101146,696,830,Cicognolo,CR
4555,101634,1441,1352,Cingia de' Botti,CR
451621,10031,1279,993,Corte de' Cortesi con Cignone,CR
451314,10552,2033,1395,Corte de' Frati,CR
451814,93917,1443,1691,Credera Rubbiano,CR
452150,94119,3463,33238,Crema,CR
4582,10128,7039,74113,Cremona,CR
452348,93831,581,1060,Cremosano,CR
45941,95115,1302,690,Crotta d'Adda,CR
452118,95014,663,446,Cumignano sul Naviglio,CR
45640,101453,990,396,Derovere,CR
45221,93233,2054,3197,Dovera,CR
45830,102111,1174,549,Drizzona,CR
452013,94652,809,838,Fiesco,CR
451329,94613,1268,1098,Formigara,CR
45131,101317,1575,971,Gabbioneta-Binanuova,CR
45923,10615,1713,1376,Gadesco-Pieve Delmona,CR
45202,95237,1867,1184,Genivolta,CR
45522,1038,813,912,Gerre de' Caprioli,CR
451547,94351,913,577,Gombito,CR
45128,1094,1217,1321,Grontardo,CR
451143,9522,2224,1907,Grumello Cremonese ed Uniti,CR
45042,10215,2535,2664,Gussola,CR
