lat,long,surface,pop,municipality,prov
45250,75519,410,344,Mombello di Torino,TO
4592,7216,3010,635,Mompantero,TO
451810,72625,1764,434,Monastero di Lanzo,TO
445958,7419,4763,59700,Moncalieri,TO
451223,6596,398,42,Moncenisio,TO
4540,7512,466,494,Montaldo Torinese,TO
452017,75022,653,827,Montalenghe,TO
452935,75143,749,3559,Montalto Dora,TO
45141,75120,2081,5283,Montanaro,TO
4596,8058,750,764,Monteu da Po,TO
45222,75646,649,718,Moriondo Torinese,TO
445951,73852,2064,44069,Nichelino,TO
452724,71847,7815,267,Noasca,TO
451445,73425,1130,6496,Nole,TO
453213,75131,308,360,Nomaglio,TO
445610,73239,2466,7722,None,TO
451126,713,2824,556,Novalesa,TO
452035,74129,620,1209,Oglianico,TO
45031,73219,2205,20650,Orbassano,TO
451949,75145,712,790,Orio Canavese,TO
445057,72039,546,884,Osasco,TO
445214,73633,446,593,Osasio,TO
45143,6503,9999,2202,Oulx,TO
45215,74433,553,1157,Ozegna,TO
452736,75840,506,801,Palazzo Canavese,TO
444956,73524,1597,1797,Pancalieri,TO
452555,74723,278,484,Parella,TO
45412,75010,440,836,Pavarolo,TO
452618,7519,1115,4060,Pavone Canavese,TO
452716,74636,198,252,Pecco,TO
4517,74510,916,3438,Pecetto Torinese,TO
445725,71145,2631,3929,Perosa Argentina,TO
452351,74951,504,473,Perosa Canavese,TO
445622,7658,6347,902,Perrero,TO
452123,73823,403,652,Pertusio,TO
451726,72421,540,667,Pessinetto,TO
4561,73256,1650,11416,Pianezza,TO
445628,7142,3476,2836,Pinasca,TO
445310,71958,5028,35331,Pinerolo,TO
45239,74638,2190,8428,Pino Torinese,TO
44564,73645,1969,2838,Piobesi Torinese,TO
445925,72755,3999,15554,Piossasco,TO
445515,72534,992,2936,Piscina,TO
452657,8019,1111,1144,Piverone,TO
445515,75044,7570,8750,Poirino,TO
445723,71044,853,1128,Pomaretto,TO
452520,73537,1943,3879,Pont Canavese,TO
445319,71612,436,936,Porte,TO
45059,65636,8928,454,Pragelato,TO
445416,7318,7252,350,Prali,TO
445144,7546,2980,1616,Pralormo,TO
445443,71145,2245,285,Pramollo,TO
44524,7168,1059,1054,Prarostino,TO
452212,73659,482,636,Prascorsano,TO
452111,73547,801,619,Pratiglione,TO
452535,74646,193,320,Quagliuzzo,TO
453133,74955,388,406,Quassolo,TO
453351,74823,1779,1135,Quincinetto,TO
45312,72549,658,1347,Reano,TO
45261,7306,4322,118,Ribordone,TO
4579,75322,1091,933,Rivalba,TO
45159,73129,2525,15971,Rivalta di Torino,TO
445911,75214,3576,3563,Riva presso Chieri,TO
452012,73723,1241,2509,Rivara,TO
45200,74323,3232,11737,Rivarolo Canavese,TO
45158,74310,1103,1211,Rivarossa,TO
45411,7310,2952,52683,Rivoli,TO
451158,73431,841,2911,Robassomero,TO
451837,73437,1420,1466,Rocca Canavese,TO
445533,71954,978,1708,Roletto,TO
452334,7522,1122,3011,Romano Canavese,TO
45302,73242,9691,477,Ronco Canavese,TO
451454,75754,1065,1737,Rondissone,TO
444735,71150,1226,261,Rora',TO
45016,7752,5966,1019,Roure,TO
45412,72755,900,3630,Rosta,TO
45825,7230,2676,1572,Rubiana,TO
452813,74515,1531,791,Rueglio,TO
452134,74120,496,1490,Salassa,TO
45424,65310,4088,441,Salbertrand,TO
452732,7510,215,550,Salerano Canavese,TO
445558,7412,1544,92,Salza di Pinerolo,TO
45276,75041,251,1493,Samone,TO
451330,7477,2219,5160,San Benigno Canavese,TO
45152,73640,2096,3368,San Carlo Canavese,TO
452258,7373,343,341,San Colombano Belmonte,TO
45814,7131,328,352,San Didero,TO
451333,73931,1504,3849,San Francesco al Campo,TO
45144,7275,675,3238,Sangano,TO
44543,71424,1586,1710,San Germano Chisone,TO
45835,73211,886,2317,San Gillio,TO
452013,74744,2036,2294,San Giorgio Canavese,TO
45749,71043,1960,905,San Giorio di Susa,TO
451854,74840,965,2861,San Giusto Canavese,TO
452344,7497,977,763,San Martino Canavese,TO
45139,7380,1751,6600,San Maurizio Canavese,TO
45612,7466,1255,16746,San Mauro Torinese,TO
445428,71846,1243,1310,San Pietro Val Lemina,TO
45217,74018,220,246,San Ponso,TO
45851,75110,1117,2384,San Raffaele Cimena,TO
45922,7565,1664,1633,San Sebastiano da Po,TO
445159,71755,1262,3270,San Secondo di Pinerolo,TO
4562,72141,859,3993,Sant'Ambrogio di Torino,TO
45632,71625,996,3930,Sant'Antonino di Susa,TO
44572,74629,1621,10369,Santena,TO
445633,65139,7852,153,Sauze di Cesana,TO
45139,65130,1710,938,Sauze d'Oulx,TO
445321,7302,3175,2740,Scalenghe,TO
452314,75029,796,776,Scarmagno,TO
45540,75250,1133,1375,Sciolze,TO
445729,65248,2580,796,Sestriere,TO
452428,75928,608,543,Settimo Rottaro,TO
45818,74621,3237,45984,Settimo Torinese,TO
45331,74955,2323,1684,Settimo Vittone,TO
452454,73232,2951,1223,Sparone,TO
452527,7468,215,239,Strambinello,TO
45236,75254,2275,6041,Strambino,TO
45812,7256,1126,6691,Susa,TO
453243,74917,865,843,Tavagnasco,TO
45358,74056,13017,962507,Torino,TO
45135,75823,994,2194,Torrazza Piemonte,TO
452338,74542,550,604,Torre Canavese,TO
444917,71317,2122,4601,Torre Pellice,TO
45223,7254,1641,3083,Trana,TO
452928,74552,1211,141,Trausella,TO
453036,7452,3952,460,Traversella,TO
451618,72544,1075,506,Traves,TO
445922,74436,1232,8905,Trofarello,TO
4532,7146,3832,231,Usseaux,TO
45141,71319,9802,309,Usseglio,TO
45616,71725,708,1123,Vaie,TO
45926,72659,3674,3021,Val della Torre,TO
45439,72031,907,587,Valgioie,TO
451331,72951,624,721,Vallo Torinese,TO
452220,73915,1327,3403,Valperga,TO
453125,73256,7157,176,Valprato Soana,TO
451239,72923,2244,668,Varisella,TO
451648,73712,725,1273,Vauda Canavese,TO
45922,7044,1980,984,Venaus,TO
4585,73742,2029,30614,Venaria,TO
451129,7581,2923,4415,Verolengo,TO
45930,8533,3191,1282,Verrua Savoia,TO
452315,75721,1208,900,Vestigne',TO
452257,7491,449,214,Vialfre',TO
452945,74648,3277,933,Vico Canavese,TO
452556,74517,316,417,Vidracco,TO
445040,72954,4108,5081,Vigone,TO
444656,73028,5101,4746,Villafranca Piemonte,TO
451438,73321,395,992,Villanova Canavese,TO
45245,7289,1036,2711,Villarbasse,TO
45710,7236,564,2151,Villar Dora,TO
451841,75839,1110,993,Villareggia,TO
45640,71336,2563,2009,Villar Focchiardo,TO
444834,7915,6076,1207,Villar Pellice,TO
445541,7151,1154,4241,Villar Perosa,TO
445524,74438,1968,4657,Villastellone,TO
445656,73811,1766,13435,Vinovo,TO
445154,73413,1415,919,Virle Piemonte,TO
452013,75656,1691,1345,Vische,TO
452635,7469,463,426,Vistrorio,TO
451424,72243,8449,1273,Viu',TO
451210,74643,3242,12536,Volpiano,TO
445721,73053,2094,6894,Volvera,TO
455115,7569,7280,432,Alagna Valsesia,VC
452541,82258,1380,340,Albano Vercellese,VC
45224,8431,2477,2474,Alice Castello,VC
452954,82319,2320,1007,Arborio,VC
451545,82422,2634,1446,Asigliano Vercellese,VC
454913,8811,1017,117,Balmuccia,VC
452730,81650,1666,267,Balocco,VC
451836,8715,4180,2166,Bianze',VC
454950,8649,3381,339,Boccioleto,VC
45216,836,3932,2685,Borgo d'Ale,VC
45438,81621,4058,14731,Borgosesia,VC
452133,8281,1941,2149,Borgo Vercelli,VC
45461,81817,739,199,Breia,VC
45290,81559,2498,1021,Buronzo,VC
45482,8149,3418,234,Campertogno,VC
455440,8251,2289,84,Carcoforo,VC
451323,83022,2373,1159,Caresana,VC
452131,82330,1113,768,Caresanablot,VC
452436,81151,3011,992,Carisio,VC
452410,81738,1628,239,Casanova Elvo,VC
452958,81936,964,435,San Giacomo Vercellese,VC
454523,81839,1005,851,Cellio,VC
45534,8939,934,51,Cervatto,VC
451837,819,2535,4654,Cigliano,VC
454833,81726,727,236,Civiasco,VC
452358,82055,912,135,Collobiano,VC
451416,82211,2112,912,Costanzana,VC
45511,81159,3452,312,Cravagliana,VC
451135,869,4828,7150,Crescentino,VC
451955,81241,1399,472,Crova,VC
451617,82127,1653,1053,Desana,VC
455332,8921,2932,310,Fobello,VC
451150,81131,2328,1190,Fontanetto Po,VC
452553,81738,1705,625,Formigliana,VC
453657,82221,3352,8701,Gattinara,VC
453153,82312,1252,793,Ghislarengo,VC
452713,8239,1200,388,Greggio,VC
454214,81457,681,322,Guardabosone,VC
451355,8547,975,500,Lamporo,VC
453330,8235,1900,890,Lenta,VC
451712,82037,2252,480,Lignana,VC
451656,8450,5811,4495,Livorno Ferraris,VC
453732,81922,670,815,Lozzolo,VC
45497,8149,1409,113,Mollia,VC
451951,75944,2019,1460,Moncrivello,VC
451141,83111,1182,896,Motta de' Conti,VC
452159,81844,1650,568,Olcenengo,VC
452416,82259,648,268,Oldenico,VC
451110,81357,1391,1325,Palazzolo Vercellese,VC
451413,8251,831,367,Pertengo,VC
451545,82856,1742,1087,Pezzana,VC
454619,8444,870,114,Pila,VC
454621,834,1354,182,Piode,VC
454259,81346,1665,559,Postua,VC
451658,82837,1156,585,Prarolo,VC
454549,8167,1600,4114,Quarona,VC
452251,82145,1106,491,Quinto Vercellese,VC
454615,8040,4341,82,Rassa,VC
455314,75953,3542,85,Rima San Giuseppe,VC
455139,8337,2428,180,Rimasco,VC
455434,81051,2890,195,Rimella,VC
45502,75716,6169,239,Riva Valdobbia,VC
451256,8256,948,385,Rive,VC
453641,81718,2814,2495,Roasio,VC
451518,81635,2457,673,Ronsecco,VC
45504,8735,1159,203,Rossa,VC
453222,81847,2926,1056,Rovasenda,VC
